"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",5,1.00365416695106,-0.484982711007591,1.01247608160281,-0.943773620626089,1.02003171518561,0.00296767410912276,1.03315316065244,-0.943511367070735,1.02755095482053,-0.374756951446653,1.02030008953108,-0.114384033533514,1.04852943961662,-0.989037312304661,1.03489718594667,-0.953852403007378,1.0029761817129,-1.0159332373665,1.02410043867111,-0.369705180925847,-0.997954393973306
"2",5,1.01795266258807,-0.520360967346219,1.02086779112135,-0.964611781234527,1.02896198348229,-0.0628618863925473,1.04451206526947,-0.983126323972298,1.04385527111631,-0.382261688666871,1.02772980609371,-0.0877119463056403,1.06472271743471,-1.02363258445116,1.04364633906188,-0.984913576984265,0.952539811520847,-0.965377759862822,1.04268140851514,-0.375704730029869,-1.00870646487916
"3",5,1.00940985196794,-0.481052801574593,1.01609995778493,-0.953390429600042,1.02306060855263,-0.0271019889718601,1.0066647938777,-0.92973324413072,1.03194066149287,-0.354364377598409,1.02319154927255,-0.0664469072771838,1.01369475653724,-0.95187251909707,1.00701176011265,-0.930419251208081,0.986980055740453,-0.96229089000303,1.03095282319841,-0.348259624069491,-0.975944664127731
"4",5,1.0225142761335,-0.47756978204708,1.04541102589923,-0.996196331674808,1.03479897108347,0.0116852157697526,1.03035791842986,-0.970789498188222,1.04925477674409,-0.376054271597811,1.03606849132678,-0.0551539781128385,1.04516739481104,-1.01624568031239,1.03162294797368,-0.977386235991067,0.980132188984638,-1.02017534754404,1.04799730047462,-0.368635006842165,-1.00778757279009
"5",5,1.02667113762742,-0.512691826588604,1.03619111517049,-1.00258754532807,1.04091989350234,-0.0538066852020757,1.02523425121578,-0.985788295459843,1.0479306201072,-0.380616512503135,1.04055674258674,-0.0745081963113899,1.02937377367574,-1.00072088849169,1.02483612549083,-0.983607336668367,1.00854463813812,-1.01180659633215,1.0474013905399,-0.37417460217244,-1.01413072198238
"6",5,1.01878628474225,-0.499035035504283,1.01224336000362,-0.963858090425221,1.03465027234783,-0.039380673049682,1.01523744249246,-0.968889418705917,1.03964502709496,-0.370381159711514,1.03448934572663,-0.0534174471094438,1.01674689278984,-0.993112121878841,1.0148745240363,-0.969349530903907,1.01463671617219,-1.04759187147503,1.03896017837781,-0.363745509441912,-0.999638398632649
"7",5,1.02018715928006,-0.481309512556808,1.02126639001526,-0.953642413389237,1.03522165863975,-0.0231369779796183,1.01468053228597,-0.950446846467688,1.04147105212557,-0.362115563939987,1.03578247738656,-0.0539187848413055,1.01677005008021,-0.97267300285399,1.0150037790006,-0.953799300882405,1.01099959978615,-1.01214961542493,1.04097596722513,-0.354585060571444,-0.981866234903141
"8",5,1.02334152585936,-0.5076981234924,1.01866939989151,-0.968329358703763,1.03805917201406,-0.0580604088096617,1.02352429892175,-0.978843717694516,1.04506633531137,-0.375591912483666,1.03774013248626,-0.0709345159389928,1.02798899617809,-0.997283765068194,1.02319253468376,-0.978575222840349,1.00452304988431,-1.01131171840003,1.04465492558104,-0.369045267251802,-1.00488397207314
"9",5,1.0151659476115,-0.495418339968359,1.01490160570226,-0.965648514539928,1.02806618791963,-0.0395076649105124,1.00846475070513,-0.962486257425251,1.03910513764844,-0.367931736125106,1.02820274622083,-0.0603578593168552,1.01590779475908,-0.982352713520975,1.00857897723948,-0.964167514849604,0.979078939562321,-0.974285799071448,1.03849870069195,-0.360495624809679,-0.994360498837277
"10",5,1.01726563725185,-0.507158026363698,1.01177482243832,-0.974810646589033,1.03218990242353,-0.0601916406561734,1.00969524293741,-0.977065357605002,1.04033092086292,-0.369923091148202,1.03257299735758,-0.0677049368166396,1.01355592982194,-0.987231137401109,1.01009580099118,-0.977726542750194,0.9973204532989,-0.987452474690408,1.03987832317321,-0.362712925790923,-0.998438980643513
